"FRAME_NO, MEAN, STD_DEV"
0,0.0,0.0
1,0.0,0.0
2,0.0,0.0
3,0.2,0.4
4,0.0,0.0
5,0.3,0.45825756949558405
6,0.3,0.45825756949558405
7,0.3,0.45825756949558405
8,0.3,0.45825756949558405
9,0.3,0.45825756949558405
10,0.3,0.45825756949558405
11,0.3,0.45825756949558405
12,0.3,0.45825756949558405
13,0.3,0.45825756949558405
14,0.3,0.45825756949558405
15,0.3,0.45825756949558405
16,0.3,0.45825756949558405
17,0.3,0.45825756949558405
18,0.3,0.45825756949558405
19,0.3,0.45825756949558405
20,0.3,0.45825756949558405
21,0.3,0.45825756949558405
22,0.3,0.45825756949558405
23,0.3,0.45825756949558405
24,0.3,0.45825756949558405
25,0.3,0.45825756949558405
26,0.3,0.45825756949558405
27,0.3,0.45825756949558405
28,0.3,0.45825756949558405
29,0.3,0.45825756949558405
30,0.3,0.45825756949558405
31,0.3,0.45825756949558405
32,0.3,0.45825756949558405
33,0.3,0.45825756949558405
34,0.3,0.45825756949558405
35,0.3,0.45825756949558405
36,0.3,0.45825756949558405
37,0.3,0.45825756949558405
38,0.3,0.45825756949558405
39,0.3,0.45825756949558405
40,0.3,0.45825756949558405
41,0.3,0.45825756949558405
42,0.3,0.45825756949558405
43,0.3,0.45825756949558405
44,0.3,0.45825756949558405
45,0.3,0.45825756949558405
46,0.3,0.45825756949558405
47,0.3,0.45825756949558405
48,0.3,0.45825756949558405
49,0.3,0.45825756949558405
50,0.3,0.45825756949558405
51,0.3,0.45825756949558405
52,0.3,0.45825756949558405
53,0.3,0.45825756949558405
54,0.3,0.45825756949558405
55,0.3,0.45825756949558405
56,0.3,0.45825756949558405
57,0.3,0.45825756949558405
58,0.3,0.45825756949558405
59,0.3,0.45825756949558405
60,0.3,0.45825756949558405
61,0.3,0.45825756949558405
62,0.3,0.45825756949558405
63,0.3,0.45825756949558405
64,0.3,0.45825756949558405
65,0.3,0.45825756949558405
66,0.3,0.45825756949558405
67,0.3,0.45825756949558405
68,0.3,0.45825756949558405
69,0.3,0.45825756949558405
70,0.3,0.45825756949558405
71,0.3,0.45825756949558405
72,0.3,0.45825756949558405
73,0.3,0.45825756949558405
74,0.3,0.45825756949558405
75,0.3,0.45825756949558405
76,0.3,0.45825756949558405
77,0.3,0.45825756949558405
78,0.3,0.45825756949558405
79,0.3,0.45825756949558405
80,0.3,0.45825756949558405
81,0.3,0.45825756949558405
82,0.3,0.45825756949558405
83,0.3,0.45825756949558405
84,0.3,0.45825756949558405
85,0.3,0.45825756949558405
86,0.3,0.45825756949558405
87,0.3,0.45825756949558405
88,0.3,0.45825756949558405
89,0.3,0.45825756949558405
90,0.3,0.45825756949558405
91,0.3,0.45825756949558405
92,0.3,0.45825756949558405
93,0.3,0.45825756949558405
94,0.3,0.45825756949558405
95,0.3,0.45825756949558405
96,0.3,0.45825756949558405
97,0.3,0.45825756949558405
98,0.3,0.45825756949558405
99,0.3,0.45825756949558405
100,0.3,0.45825756949558405
101,0.3,0.45825756949558405
102,0.3,0.45825756949558405
103,0.3,0.45825756949558405
104,0.3,0.45825756949558405
105,0.3,0.45825756949558405
106,0.3,0.45825756949558405
107,0.3,0.45825756949558405
108,0.3,0.45825756949558405
109,0.3,0.45825756949558405
110,0.3,0.45825756949558405
111,0.3,0.45825756949558405
112,0.3,0.45825756949558405
113,0.3,0.45825756949558405
114,0.3,0.45825756949558405
115,0.3,0.45825756949558405
116,0.3,0.45825756949558405
117,0.3,0.45825756949558405
118,0.3,0.45825756949558405
119,0.3,0.45825756949558405
120,0.3,0.45825756949558405
121,0.3,0.45825756949558405
122,0.3,0.45825756949558405
123,0.3,0.45825756949558405
124,0.3,0.45825756949558405
125,0.3,0.45825756949558405
126,0.3,0.45825756949558405
127,0.3,0.45825756949558405
128,0.3,0.45825756949558405
129,0.3,0.45825756949558405
130,0.3,0.45825756949558405
131,0.3,0.45825756949558405
132,0.3,0.45825756949558405
133,0.3,0.45825756949558405
134,0.3,0.45825756949558405
135,0.3,0.45825756949558405
136,0.3,0.45825756949558405
137,0.3,0.45825756949558405
138,0.3,0.45825756949558405
139,0.3,0.45825756949558405
140,0.3,0.45825756949558405
141,0.3,0.45825756949558405
142,0.3,0.45825756949558405
143,0.3,0.45825756949558405
144,0.3,0.45825756949558405
145,0.3,0.45825756949558405
146,0.3,0.45825756949558405
147,0.3,0.45825756949558405
148,0.3,0.45825756949558405
149,0.3,0.45825756949558405
150,0.3,0.45825756949558405
151,0.3,0.45825756949558405
152,0.3,0.45825756949558405
153,0.3,0.45825756949558405
154,0.3,0.45825756949558405
155,0.2,0.4
156,0.2,0.4
157,0.2,0.4
158,0.2,0.4
159,0.2,0.4
160,0.2,0.4
161,0.3,0.45825756949558405
162,5.7,2.1
163,5.7,2.1
164,5.7,2.1
165,5.7,2.1
166,5.7,2.1
167,5.7,2.1
168,5.7,2.1
169,5.7,2.1
170,5.8,2.181742422927143
171,5.8,2.181742422927143
172,7.1,2.981610303175115
173,7.1,2.981610303175115
174,7.1,2.981610303175115
175,7.0,2.8635642126552705
176,7.0,2.8635642126552705
177,8.5,4.05585995813465
178,8.5,4.05585995813465
179,8.5,4.05585995813465
180,8.5,4.05585995813465
181,8.5,4.05585995813465
182,8.5,4.05585995813465
183,8.5,4.05585995813465
184,8.1,3.448187929913334
185,8.1,3.448187929913334
186,8.1,3.448187929913334
187,8.1,3.448187929913334
188,8.1,3.448187929913334
189,8.1,3.448187929913334
190,8.1,3.448187929913334
191,8.1,3.448187929913334
192,8.1,3.448187929913334
193,8.1,3.448187929913334
194,10.5,4.631414470763764
195,10.5,4.631414470763764
196,10.5,4.631414470763764
197,10.5,4.631414470763764
198,10.5,4.631414470763764
199,10.5,4.631414470763764
200,10.5,4.631414470763764
201,10.5,4.631414470763764
202,10.5,4.631414470763764
203,10.5,4.631414470763764
204,10.5,4.631414470763764
205,10.5,4.631414470763764
206,10.5,4.631414470763764
207,10.4,4.565084884205331
208,10.4,4.565084884205331
209,10.4,4.565084884205331
210,10.4,4.565084884205331
211,10.4,4.565084884205331
212,10.4,4.565084884205331
213,10.4,4.565084884205331
214,10.4,4.565084884205331
215,11.5,4.695742752749559
216,11.5,4.695742752749559
217,10.4,4.8207883172775805
218,10.4,4.8207883172775805
219,10.4,4.8207883172775805
220,10.4,4.8207883172775805
221,10.4,4.8207883172775805
222,10.8,5.3065996645686395
223,10.8,5.3065996645686395
224,10.8,5.3065996645686395
225,10.8,5.3065996645686395
226,10.8,5.3065996645686395
227,10.8,5.3065996645686395
228,10.8,5.3065996645686395
229,10.8,5.3065996645686395
230,10.8,5.3065996645686395
231,10.8,5.3065996645686395
232,10.8,5.3065996645686395
233,10.8,5.3065996645686395
234,10.8,5.3065996645686395
235,10.8,5.3065996645686395
236,10.8,5.3065996645686395
237,11.7,5.23545604508337
238,11.7,5.23545604508337
239,11.7,5.23545604508337
240,11.7,5.23545604508337
241,11.7,5.23545604508337
242,11.7,5.23545604508337
243,11.7,5.23545604508337
244,11.7,5.23545604508337
245,11.7,5.23545604508337
246,11.7,5.23545604508337
247,12.2,3.944616584663204
248,12.2,3.944616584663204
249,12.5,5.277309920783504
250,14.0,4.242640687119285
251,14.0,4.242640687119285
252,13.9,4.72122865364515
253,13.9,4.72122865364515
254,13.9,4.72122865364515
255,13.9,4.72122865364515
256,13.9,4.72122865364515
257,13.7,4.539823785126467
258,13.7,4.539823785126467
259,13.7,4.539823785126467
260,13.7,4.539823785126467
261,13.7,4.539823785126467
262,13.7,4.539823785126467
263,13.7,4.539823785126467
264,13.7,4.539823785126467
265,13.7,4.539823785126467
266,13.7,4.539823785126467
267,13.7,4.539823785126467
268,13.7,4.539823785126467
269,13.7,4.539823785126467
270,13.7,4.539823785126467
271,12.2,3.5721142198983507
272,10.5,3.640054944640259
273,10.5,3.640054944640259
274,10.5,3.640054944640259
275,11.3,4.405678154382138
276,11.3,4.405678154382138
277,11.3,4.405678154382138
278,11.3,4.405678154382138
279,11.3,4.405678154382138
280,11.3,4.405678154382138
281,11.3,4.405678154382138
282,11.0,3.8987177379235853
283,11.0,3.8987177379235853
284,11.0,3.8987177379235853
285,11.2,4.237924020083418
286,11.2,4.237924020083418
287,11.2,4.237924020083418
288,11.2,4.237924020083418
289,11.2,4.237924020083418
290,11.2,4.237924020083418
291,11.2,4.237924020083418
292,11.2,4.237924020083418
293,11.2,4.237924020083418
294,11.2,4.237924020083418
295,12.2,4.534313619501853
296,12.2,4.534313619501853
